"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "MS SQL", "JavaScript", "HTML", "Docker", "Ignore", "PostCSS", "Shell Script", "YAML", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\github\NODE-JS\work\periodtracker\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\github\NODE-JS\work\periodtracker\.k8s\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"d:\github\NODE-JS\work\periodtracker\.k8s\adminer.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"d:\github\NODE-JS\work\periodtracker\.k8s\api-ingress.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"d:\github\NODE-JS\work\periodtracker\.k8s\api.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 1, 68
"d:\github\NODE-JS\work\periodtracker\.k8s\cms-ingress.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"d:\github\NODE-JS\work\periodtracker\.k8s\cms.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 1, 77
"d:\github\NODE-JS\work\periodtracker\.k8s\deploy-k8s.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 11, 38
"d:\github\NODE-JS\work\periodtracker\.k8s\letsencrypt.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 0, 18
"d:\github\NODE-JS\work\periodtracker\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\github\NODE-JS\work\periodtracker\.prettierrc", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\github\NODE-JS\work\periodtracker\AboutOky.md", "Markdown", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42, 94
"d:\github\NODE-JS\work\periodtracker\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"d:\github\NODE-JS\work\periodtracker\CONTRIBUTING.md", "Markdown", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 94
"d:\github\NODE-JS\work\periodtracker\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 6, 22
"d:\github\NODE-JS\work\periodtracker\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 46
"d:\github\NODE-JS\work\periodtracker\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 5, 58
"d:\github\NODE-JS\work\periodtracker\app\README.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34
"d:\github\NODE-JS\work\periodtracker\app\__mocks__\vector-icons.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\A.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Avatar\AvatarMessage.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 6, 17, 71
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Background.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 2, 10, 59
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Button.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\CheckButton.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Checkbox.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 3, 28
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\DatePicker.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 1, 7, 60
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\EmojiBadge.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\ErrorText.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Hr.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\IconButton.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
