Date : 2026-01-16 09:51:03
Directory : d:\github\NODE-JS\work\periodtracker
Total : 606 files,  81852 codes, 1580 comments, 7072 blanks, all 90504 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        257 |     52,645 |        916 |      2,393 |     55,954 |
| TypeScript JSX     |        173 |     14,000 |        248 |      1,898 |     16,146 |
| JavaScript         |         33 |      4,769 |        240 |        424 |      5,433 |
| HTML               |         39 |      3,717 |         97 |        125 |      3,939 |
| JSON               |         22 |      1,858 |          0 |         18 |      1,876 |
| Markdown           |         34 |      1,762 |          1 |        973 |      2,736 |
| MS SQL             |         13 |      1,635 |         16 |      1,099 |      2,750 |
| PostCSS            |          4 |        895 |         15 |         56 |        966 |
| YAML               |          8 |        303 |          4 |          7 |        314 |
| JSON with Comments |          6 |        119 |          0 |          6 |        125 |
| Shell Script       |          9 |         91 |         32 |         51 |        174 |
| Docker             |          3 |         40 |         10 |         22 |         72 |
| Ignore             |          4 |         15 |          0 |          0 |         15 |
| XML                |          1 |          3 |          1 |          0 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        606 |     81,852 |      1,580 |      7,072 |     90,504 |
| . (Files)                                                                                                                          |         27 |      1,248 |         64 |        341 |      1,653 |
| .k8s                                                                                                                               |          8 |        282 |          6 |         22 |        310 |
| app                                                                                                                                |        311 |     28,216 |        781 |      4,012 |     33,009 |
| app (Files)                                                                                                                        |         10 |        348 |         16 |         48 |        412 |
| app\__mocks__                                                                                                                      |          1 |          2 |          1 |          1 |          4 |
| app\__tests__                                                                                                                      |         45 |      1,809 |         19 |        308 |      2,136 |
| app\__tests__\src                                                                                                                  |         45 |      1,809 |         19 |        308 |      2,136 |
| app\__tests__\src\components                                                                                                       |         21 |        434 |         10 |         84 |        528 |
| app\__tests__\src\components (Files)                                                                                               |         13 |        316 |          4 |         53 |        373 |
| app\__tests__\src\components\Avatar                                                                                                |          1 |         48 |          6 |         17 |         71 |
| app\__tests__\src\components\icons                                                                                                 |          7 |         70 |          0 |         14 |         84 |
| app\__tests__\src\hooks                                                                                                            |          4 |        312 |          0 |         50 |        362 |
| app\__tests__\src\mappers                                                                                                          |          4 |        351 |          0 |         32 |        383 |
| app\__tests__\src\screens                                                                                                          |         12 |        503 |          9 |         98 |        610 |
| app\__tests__\src\screens\AuthScreen                                                                                               |          7 |        259 |          8 |         67 |        334 |
| app\__tests__\src\screens\AuthScreen\components                                                                                    |          7 |        259 |          8 |         67 |        334 |
| app\__tests__\src\screens\AuthScreen\components (Files)                                                                            |          4 |         85 |          0 |         16 |        101 |
| app\__tests__\src\screens\AuthScreen\components\SignUp                                                                             |          3 |        174 |          8 |         51 |        233 |
| app\__tests__\src\screens\AuthScreen\components\SignUp\components                                                                  |          3 |        174 |          8 |         51 |        233 |
| app\__tests__\src\screens\DayScreen                                                                                                |          1 |         31 |          0 |          5 |         36 |
| app\__tests__\src\screens\DayScreen\components                                                                                     |          1 |         31 |          0 |          5 |         36 |
| app\__tests__\src\screens\DayScreen\components\DayTracker                                                                          |          1 |         31 |          0 |          5 |         36 |
